geboorte_land_code,geboorte_land_code_her
5034,5034
7073,9089
5002,5002
6011,6011
5100,6045
8035,6039
9071,5009
7047,7047
6064,9049
6038,9049
6063,9049
6043,6043
7088,7088
6014,6014
8036,8036
8017,8017
5033,5033
7032,7032
9031,6025
6017,6017
5095,7011
7049,7049
8039,5092
8019,8019
6023,6023
7055,6022
7046,7046
7058,6024
7035,7035
7012,5048
5025,5025
7075,7026
7026,7026
9057,7026
5047,5047
5018,5018
7080,7042
7077,7054
9055,8024
6036,6036
6047,6047
8023,8023
5096,5096
5060,5060
5063,9087
9003,9003
7076,5024
5067,8025
7079,9008
6006,6006
7061,5022
6020,6020
9023,9023
6059,6059
6060,6060
9036,9036
9078,6019
5004,8031
8002,8002
8043,8043
8011,8027
9056,9056
5013,5013
9007,8021
8028,8028
6062,6062
7095,7095
7005,7005
7024,7024
6055,6055
7044,7044
5049,5049
5032,5032
9085,7028
6028,6028
5099,9049
6050,9049
6037,6037
5045,5045
7030,7030
8000,6014
8038,8045
6052,8017
7007,7007
5061,5061
6025,6025
9015,6017
7011,7011
8020,8020
5092,5092
7038,7038
5057,5057
5027,5027
5046,7046
6056,7046
8004,7035
6042,6042
7043,7043
9067,7026
5085,7026
5090,7026
6035,6035
5037,5037
7042,7042
9070,7054
6026,8024
5026,5026
7023,8023
6001,6001
7068,6069
9016,9087
9076,5020
7040,7040
9006,5035
9008,9008
9010,9010
9005,5022
5044,5044
5078,9023
9077,7021
7034,7034
7059,7031
6019,6019
8031,8031
6016,6016
8044,8043
8040,8027
9094,9094
9091,5013
8021,8021
8033,9090
0,0
5010,5010
5040,5040
6003,6003
6065,6045
8034,8034
6027,6027
7028,7028
5054,9049
6021,9049
5053,9049
6053,6037
5039,5039
5001,5001
8045,8045
9048,9048
5006,5006
5062,5062
6041,6041
5069,5069
7018,7018
8037,8037
5007,5007
6010,6010
7084,7084
7036,7036
5089,7046
5043,5043
9041,5048
9088,6042
5068,5068
5081,7026
5086,7026
9075,7026
6049,6049
9052,7033
9062,7054
9074,7054
8024,8024
8010,5026
9064,5011
9050,6001
6069,6069
7014,7014
5020,5020
5072,5072
9066,5035
9013,9008
7067,5005
5022,5022
5084,5084
6040,6040
7021,7021
9027,6013
7031,7031
5008,5008
7072,8031
8012,6016
6032,6032
5064,8027
8003,8003
7098,5013
5071,5071
9090,9090
9999,0
9089,9089
5015,5015
6039,6039
6045,6045
6012,6012
5093,6027
5056,7050
5097,9049
7064,7064
7029,9049
6066,6066
5003,5003
9000,5001
7015,7015
6015,6015
8030,8030
8008,8008
7017,7017
7006,7006
7037,7037
8042,8037
6044,6044
5058,5058
7070,7046
5091,7046
5012,5012
5048,5048
6031,6031
7041,7041
5082,7026
5087,7026
5094,7026
9053,7051
7033,7033
9061,7054
9054,7054
5036,8024
7063,5026
5011,5011
9081,6001
9009,6069
9047,7014
6048,6048
9020,5072
5035,5035
9063,7016
5005,5005
7091,5022
5070,5070
6005,6005
8026,8026
9028,6013
9051,7031
7001,7001
5014,5014
8013,6016
6054,6054
8027,8027
7057,7057
8006,8006
6058,8022
8005,8005
7085,9089
8014,8014
5017,5017
6068,6045
6018,6018
9095,6027
7087,7050
5098,9049
7066,7066
9049,9049
7048,6066
7092,7092
6033,6033
6008,6008
7027,7027
5066,5066
5059,6017
8015,8015
8041,8041
5074,5074
7093,8019
5042,5042
5079,7046
6024,6024
6034,6034
5016,5048
9037,9037
9058,7026
9069,7026
5088,7026
7052,7052
7051,7051
7009,7009
8032,7054
7054,7054
9068,6036
9073,5026
7096,7096
9082,6001
5050,6069
9043,9043
7008,7008
5030,5030
7082,7002
7016,7016
9001,5005
9004,5022
9072,5070
5073,5073
5075,8026
6013,6013
5023,5023
7071,5028
8016,6016
8001,8001
9017,8027
7099,7099
5041,8021
8022,8022
5077,5077
6029,9089
6002,6002
6007,6007
5051,6045
7003,7003
5009,5009
7050,7050
7065,7065
6000,9049
6057,9049
6067,6067
5065,5065
7004,7004
5021,5021
7039,7039
6004,6004
7062,6017
9014,8015
5038,5038
8029,8029
7094,8019
6022,6022
9084,7046
9030,6024
7060,6034
9042,5048
7045,7045
7083,7026
5083,7026
9060,7026
5031,5047
7020,7020
5052,5052
9065,7054
7074,8024
5055,5055
6046,5096
9086,9086
9087,9087
9044,9043
5024,5024
8025,8025
7002,7002
5019,5019
5029,5029
9093,5022
9022,9023
6009,6009
6051,6051
9092,9092
6061,6061
5028,5028
8018,6016
5080,5080
8009,8009
7097,5013
7089,8021
5076,5076
